,,,,,,,,,,,,,,,,
,상품ID,아이템ID,아이템 이이지,아이템 이름,구매제한갯수,갯수,구입가격,판매가격,상호작용 NPC,,,,,,,
,5008,1001,img_1001,풋고추 씨앗,FALSE,1,150,50,N004
,5009,1002,img_1002,고추 씨앗,FALSE,1,150,50,N004
,5010,1003,img_1003,토마토 씨앗,FALSE,1,150,50,N004
,5011,1004,img_1008,호박 씨앗,FALSE,1,150,50,N004
,5012,1005,img_1005,와사비 씨앗,FALSE,1,150,50,N004
,5013,1006,img_1006,무 씨앗,FALSE,1,150,50,N004
,5014,1007,img_1007,순무 씨앗,FALSE,1,150,50,N004
,5015,1008,img_1004,당근 씨앗,FALSE,1,150,50,N004
,5016,1009,img_1009,보리 씨앗,FALSE,1,150,50,N004
,5017,1010,img_1010,밀 씨앗,FALSE,1,150,50,N004
,5018,2001,img_2001,풋고추,NULL,1,null,250,N004
,5019,2002,img_2002,고추,NULL,1,null,250,N004
,5020,2003,img_2003,토마토,NULL,1,null,250,N004
,5021,2004,img_2004,당근,NULL,1,null,250,N004
,5022,2005,img_2005,와사비,NULL,1,null,250,N004
,5023,2006,img_2006,무,NULL,1,null,250,N004
,5024,2007,img_2007,순무,NULL,1,null,250,N004
,5025,2008,img_2008,호박,NULL,1,null,250,N004
,5026,2009,img_2009,보리,NULL,1,null,250,N004
,5027,2010,img_2010,밀,NULL,1,null,250,N004
,5028,1101,img_1101,붕어,NULL,1,null,100,N004
,5029,1102,img_1102,블루길,NULL,1,null,50,N004
,5030,1103,img_1103,송어,NULL,1,null,100,N004
,5031,1104,img_1104,메기,NULL,1,null,200,N004
,5032,1105,img_1105,큰입배스,NULL,1,null,100,N004
,5033,1106,img_1106,잉어,NULL,1,null,150,N004
,5034,3001,img_3001,파스타,FALSE,1,700,300,N005
,5035,0001,img_0001,건초,NULL,1,null,10,N004
,5036,0002,img_0002,석재,NULL,1,null,10,N004
,5037,0003,img_0003,목재,NULL,1,null,20,N004
,5038,0011,img_0011,빨간 버섯,NULL,1,null,10,N004
,5039,0012,img_0012,초록 버섯,NULL,1,null,10,N004
,5040,0013,img_0013,주황 버섯,NULL,1,null,10,N004
,5041,0014,img_0014,보라색 버섯,NULL,1,null,10,N004
,5042,0015,img_0015,갈색 버섯,NULL,1,null,10,N004
,5043,0101,img_0101,흰꽃,NULL,1,null,10,N004
,5044,0102,img_0102,빨간 꽃,NULL,1,null,10,N004
,5045,0103,img_0103,보라꽃,NULL,1,null,10,N004
,5046,0104,img_0104,선인장,NULL,1,null,10,N004
,5047,0016,img_0016,소금,FALSE,1,30,null,N004
,5048,0017,img_0017,설탕,FLASE,1,30,null,N004
